Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1645.3851798377625
FDW14,OUT017,1364.9068245899336
NCN55,OUT010,571.1742487027816
FDQ58,OUT017,2461.7352983314313
FDY38,OUT027,5852.742783909575
FDH56,OUT046,1936.994221589763
FDL48,OUT018,742.3936084904013
FDC48,OUT027,2132.459717905854
FDN33,OUT045,1517.6157529589357
FDA36,OUT017,3097.1279020199436
FDT44,OUT017,1929.7566711088555
FDQ56,OUT045,1365.0133702997857
NCC54,OUT019,570.5932190434218
FDU11,OUT049,2027.1518478993612
DRL59,OUT013,848.647316533536
FDM24,OUT049,2462.4719350161995
FDI57,OUT045,3034.115805848387
DRC12,OUT018,2944.64925531291
NCM42,OUT027,2905.7289023563
FDA46,OUT010,508.77031469546273
FDA31,OUT013,2830.7470286164275
NCJ31,OUT035,3871.547203377014
FDG52,OUT046,793.7117559961703
NCL19,OUT019,286.7997457254344
FDS10,OUT035,2969.2529718584356
FDX22,OUT010,563.8637835968179
NCF19,OUT035,775.4295349126687
NCE06,OUT046,2543.1920865185457
DRC27,OUT046,3945.8355166137126
FDE21,OUT035,1938.3935075845727
NCR42,OUT019,130.92832114179419
FDX51,OUT018,2999.4514237505964
NCR06,OUT018,604.8454075633377
FDU31,OUT027,5852.742783909575
FDU59,OUT017,2526.426531525912
FDR03,OUT027,5849.241449013129
FDS49,OUT027,2004.5565379270477
FDD48,OUT010,269.00890658693265
NCF18,OUT017,3020.7388287465255
NCD43,OUT027,2865.5481686505927
NCD54,OUT018,2102.568182116977
FDY19,OUT010,269.86457243625676
NCY54,OUT017,2858.0086021688553
NCL19,OUT018,2416.3917027436646
FDP23,OUT010,568.5492723405417
FDC26,OUT013,1736.470443008504
FDR14,OUT010,130.92832114179419
NCS41,OUT035,3114.3799812149146
FDF41,OUT035,3910.744654029809
FDU34,OUT046,2044.9460853367157
DRH11,OUT046,981.7704403457371
FDM03,OUT013,1646.8063809353982
FDS31,OUT017,3062.964367289719
FDJ20,OUT017,2004.8104230596955
